Key Question,I Statement Order,I Statement Text,Notes
Safe,1,I feel safe and am supported to understand and manage any risks.,
Safe,2,I know what to do and who I can contact when I realise that things might be at risk of going wrong or my health condition may be worsening.,
Safe,3,I can plan ahead and stay in control in emergencies. I know who to contact and how to contact them and people follow my advance wishes and decisions as much as possible.,
Safe,4,"If my treatment, including medication, must change, I know why and am involved in the decision. (Not authentic TLAP statement)",
Safe,5,"When I move between services, settings or areas, there is a plan for what happens next and who will do what, and all the practical arrangements are in place.",
Safe,6,I have considerate support delivered by competent people.,
Effective,1,"I can get information and advice about my health, care and support and how I can be as well as possible – physically, mentally and emotionally.",
Effective,2,"I have care and support that is co-ordinated, and everyone works well together and with me.",
Effective,3,"I am supported by people who listen carefully, so they know what matters to me and how to support me to live the life I want.",
Effective,4,I can live the life I want and do the things that are important to me as independently as possible.,
Caring,1,I am treated with respect and dignity.,
Caring,2,I am supported to manage my health in a way that makes sense to me.,
Caring,3,"I am in control of planning my care and support. If I need help with this, people who know and care about me are involved.",
Caring,4,"I can keep in touch and meet up with people who are important to me, including family, friends and people who share my interests, identity and culture.",
Caring,5,I can live the life I want and do the things that are important to me as independently as possible.,
Caring,6,I am supported to plan ahead for important changes in life that I can anticipate.,
Caring,7,"I am supported to make decisions by people who see things from my point of view, with concern for what matters to me, my wellbeing and health.",
Responsive,1,"I have care and support that is co-ordinated, and everyone works well together and with me.",
Responsive,2,"I can get information and advice that is accurate, up to date and provided in a way that I can understand.",
Responsive,3,I am encouraged and enabled to feed back about my care in ways that work for me and I know how it was acted on. (Not authentic TLAP statement),
Responsive,4,I can get information and advice that helps me think about and plan my life.,
Well-Led,,,No 'I' statements published for this Key Question in draft v9 of the framework.
